DISTRIBUTOR_FTS_ID,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_NAME,DISTRIBUTOR_ADDRESS,DISTRIBUTOR_STATE,DISTRIBUTOR_CITY,DISTRIBUTOR_ZIP
,6218094,NAPPI DISTRIBUTORS,235 PRESUMPSCOT ST,ME,PORTLAND,04103
,6218096,BAKER DISTRIBUTING NORTH,130 ORION DRIVE,VT,COLCHESTER,05446
,6218097,BAYSIDE DISTRIBUTING,277 ROUTE 125,NH,BRENTWOOD,03833
,6218098,WILSON-MCGINLEY  INC.,85 36TH ST,PA,PITTSBURGH,15201
,6218099,AMOSKEAG BEVERAGES  INC.,510 HALL ST,NH,BOW,03304
,6218100,STANDARD DIST OF DE,100 N MEWS DR,DE,NEW CASTLE,19720
,6218101,JAMES CLAY AND SONS,UNIT 1 GROVE MILLS,GB,W. YORKSHIRE,
,6218102,SHANGY INC.,40 MAIN ST,PA,EMMAUS,18049
,6218104,LEGENDS LIMITED,8901 YELLOW BRICK RD,MD,ROSEDALE,21237
,6218105,SPECIALTY BEVERAGE  INC. - RICHMOND,1400 COMMERCE RD,VA,RICHMOND,23224
,6218107,SERENA A. KIRCHNER INC.,2740 CHARLESTOWN RD,PA,LANCASTER,17603
,6218108,HEIDELBERG DIST - CLEVELAND,9101 EAST PLEASANT VALLEY ROAD,OH,INDEPENDENCE,44131
,6218109,HEIDELBERG DIST - DAYTON,3601 DRYDEN RD,OH,DAYTON,45439
,6218110,HEIDELBERG DIST - KENTUCKY,2245 PROGRESS DR,KY,HEBRON,41048
,6218111,OHIO VALLEY WINE AND BEER,10975 MEDALLION DR,OH,BLUE ASH,45241
,6218112,CRAFT BEER GUILD DISTRIBUTING OF LA,2248 OBISPO AVE,CA,SIGNAL HILL,90755
,6218113,CLASSIC DISTRIBUTING AND BEV - SD,7825 TRADE ST,CA,SAN DIEGO,92121
,6218114,TWO ROADS BREWING,402 WATERTOWER CIR,VT,COLCHESTER,05446
,6218116,ACE BEVERAGE,203 BETTY ST,PA,EYNON,18403
,6218117,ADAMS BEVERAGES-CHARLOTTE,7505 OLD STATESVILLE RD,NC,CHARLOTTE,28269
,6218118,ADAMS BEVERAGES-GOLDSBORO,2026 US HWY 70 W,NC,GOLDSBORO,27530
,6218119,ADAMS BEVERAGE-WILMINGTON,805 N 23RD ST,NC,WILMINGTON,28405
,6218120,ALL STAR DISTRIBUTING INC.,P O BOX 14264,PA,READING,19612
,6218122,BANKO DISTRIBUTING CO.,ROUTE 611 NORTH,PA,PLUMSTEADVLLE,18949
,6218123,R.H. BARRINGER,1620 FAIRFAX RD,NC,GREENSBORO,27407
,6218125,BOB HALL LLC,PO BOX 1308,MD,UPPER MARLBORO,20773
,6218126,CHESAPEAKE BEVERAGE,7001 QUAD AVE,MD,ROSEDALE,21237
,6218127,CRAFT BREWERS OF MA,170 MARKET ST,MA,EVERETT,02149
,6218128,CRAFT BREWERS GUILD - NY,14 S PUTT CORNERS RD,NY,NEW PALTZ,12561
,6218129,DOPS INC,116 PATES DR,MD,FT WASHINGTON,20744
,6218130,DURDACH BROS. INC.,MAIN STREET,PA,PAXINOS,17860
,6218131,EAGLE DISTRIBUTING - PA,850 LAUREL ST,PA,READING,19602
,6218134,G & G BEVERAGE DIST. - WALLINGFORD,207 CHURCH ST,CT,WALLINGFORD,06492
,6218135,GUY DISTRIBUTING CO. INC.,PO BOX 307,MD,LEONARDTOWN,20650
,6218136,HUNTERDON BREWING CO.,STREET,NJ,PHILIPSBURG,08889
,6218137,CAROLINA EAGLE - GREENVILLE,1950 N GREENE ST,NC,GREENVILLE,27834
,6218140,L.KNIFE & SON INC.,P O BOX K,MA,KINGSTON,02364
,6218142,PENN DISTRIBUTORS INC.,401 DOMINO LN,PA,PHILADELPHIA,19128
,6218143,PREMIUM BEVERAGE SUPPLY,4400 EDGEWYN AVE,OH,HILLIARD,43026
,6218144,PREMIUM BEVERAGE SUPPLY,4400 EDGEWYN AVE,OH,HILLIARD,43026
,6218147,STANDARD DISTRIBUTORS INC.,PO BOX 68,NC,GASTONIA,28053
,6218149,TJ SHEEHAN DISTRIBUTING INC.,225 COMMERCE BLVD,NY,LIVERPOOL,13088
,6218150,TRI-VALLEY BEVERAGE INC.,ROUTE 233,NY,WESTMORELAND,13490
,6218151,UNION BEER DISTRIBUTORS,1213 GRAND ST,NY,BROOKLYN,11211
,6218152,BREAKTHRU BEVERAGE,411 NEW CHURCHMANS RD,DE,NEW CASTLE,19720
,6218153,VIRGINIA EAGLE - SPRINGFIELD,6839 INDUSTRIAL RD,VA,SPRINGFIELD,22151
,6218154,VIRGINIA EAGLE - CHARLOTTESVILLE,669 GOLD EAGLE DR,VA,CHARLOTTESVILLE,22903
,6218155,VIRGINIA EAGLE - WINCHESTER,3425 VALLEY PIKE,VA,WINCHESTER,22602
,6218156,VIRGINIA EAGLE - FREDERICKSBURG(JF FICK),224 INDUSTRIAL CT,VA,FREDERICKSBURG,22408
,6218157,P.A. SHORT DISTRIBUTING CO.  INC.,440 INDUSTRIAL DR,VA,ROANOKE,24019
,6218158,SPECIALTY BEVERAGE  INC. - RICHMOND,1400 COMMERCE RD,VA,RICHMOND,23224
,6218159,VECENIES DISTRIBUTING CO.,138 NORTH AVE,PA,PITTSBURGH,15209
,6218160,WANTZ DISTRIBUTORS INC.,18128 OAK RIDGE DR,MD,HAGERSTOWN,21740
,6218161,WILSBACH DISTRIBUTORS INC,905 KATIE CT,PA,HARRISBURG,17109
,6218162,BEN E. KEITH - ABILENE,2141 COTTONWOOD ST,TX,ABILENE,79601
,6218163,BEN E. KEITH - AUSTIN,3909 WAREHOUSE ROW,TX,AUSTIN,78704
,6218164,BEN E. KEITH - COMMERCE,PO BOX 697,TX,COMMERCE,75429
,6218165,BEN E. KEITH - DALLAS,1805 RECORD CROSSING RD,TX,DALLAS,75235
,6218167,BEN E. KEITH - EL PASO,915 LOMA VERDE DR,TX,EL PASO,79936
,6218168,BEN E. KEITH - FT. WORTH,7001 WILL ROGERS BLVD,TX,FT WORTH,76134
,6218169,BEN E. KEITH - HOUSTON,6720 COMMERCE CREEK DR,TX,HOUSTON,77040
